EETrajData1,EETrajData2,EETrajData3,EETrajData4,EETrajData5,EETrajData6
EE X (Mm),EE Y (Mm),EE Z (Mm),EE Roll (Deg),EE Pitch (Deg),EE Yaw (Deg)
1395.00297553955,0.000221657638206832,1514.99929827167,-18.7678973921176,-89.9998036536844,-161.232033958976
1395.01190214485,0.000886633012292707,1514.99719302813,-18.7677933611769,-89.9992146145691,-161.231932043959
1395.02677977588,0.00199493350032658,1514.99368409369,-18.7676199674199,-89.998232882149,-161.231762196163
1395.04760836593,0.00354657139859956,1514.98877117557,-18.7673772181989,-89.9968584555824,-161.23152441036
1395.07438782161,0.00554156392082904,1514.98245386386,-18.767065110899,-89.9950913336909,-161.231218692491
1395.1071180228,0.00797993319706861,1514.97473163156,-18.7666836476721,-89.9929315149595,-161.230845044614
1395.14579882264,0.0108617062723062,1514.96560383452,-18.7662328276661,-89.9903789975367,-161.230403472841
1395.19043004756,0.014186915104751,1514.95506971155,-18.7657126522507,-89.9874337792347,-161.229893981758
1395.24101149717,0.0179555965638077,1514.94312838431,-18.7651231213933,-89.9840958575294,-161.229316578452
1395.29754294431,0.0221677924277402,1514.9297788574,-18.7644642357616,-89.9803652295605,-161.228671270259
1395.36002413495,0.0268235493810224,1514.91502001834,-18.7637359959446,-89.976241892132,-161.227958065433
1395.42845478821,0.0319229190113773,1514.89885063756,-18.7629384025107,-89.9717258417119,-161.227176973215
1395.50283459627,0.0374659578065036,1514.88126936844,-18.7620714562547,-89.9668170744327,-161.226328003601
1395.58316322436,0.0434527271504903,1514.86227474731,-18.7611351579193,-89.9615155860917,-161.225411167509
1395.66944031068,0.0498832933199183,1514.84186519344,-18.7601295082502,-89.955821372151,-161.224426476817
1395.76166546638,0.0567577274796497,1514.8200390091,-18.759054508256,-89.9497344277379,-161.223373944062
1395.85983827548,0.0640761056783033,1514.79679437951,-18.7579101588019,-89.943254747645,-161.222253582874
1395.9639582948,0.071838508843418,1514.77212937292,-18.7566964609492,-89.936382326331,-161.22106540759
1396.07402505392,0.0800450227763015,1514.74604194057,-18.7554134156641,-89.9291171579202,-161.219809433583
1396.19003805511,0.0886957381465669,1514.71852991673,-18.7540610241882,-89.9214592362038,-161.218485676883
1396.31199677322,0.097790750486353,1514.68959101872,-18.752639287597,-89.9134085546395,-161.217094154601
1396.43990065565,0.107330160184233,1514.65922284693,-18.751148207212,-89.9049651063521,-161.215634884535
1396.57374912223,0.117314072478805,1514.62742288482,-18.7495877842426,-89.8961288841341,-161.214107885528
