J6FrcTrq1,J6FrcTrq2,J6FrcTrq3,J6FrcTrq4,J6FrcTrq5,J6FrcTrq6,J6FrcTrq7,J6FrcTrq8
J6Mx (Nm),J6My (Nm),J6Mz (Nm),J6RadialTorq (Nm),J6Fx (N),J6Fy (N),J6Fz (N),J6RadialForce (N)
-0.00750906968062516,-0.101887147889217,-0.00442810620534912,0.102163481892835,-9.45862319830963,0.447313699011104,-6.61131934366915,9.4691943877462
-0.0075091732297708,-0.101885603200253,-0.00442811103037563,0.102161948993126,-9.45849065086298,0.447328657317414,-6.61118851876052,9.46906269490913
-0.00750934579317382,-0.101883028693497,-0.00442811907047456,0.102159394134859,-9.45826973621022,0.447353586196698,-6.6109704798494,9.46884320463663
-0.00750958734732687,-0.101879424329902,-0.00442813032330057,0.102155817278896,-9.45796045089787,0.447388483602762,-6.61066522667798,9.46853591354062
-0.00750989785932147,-0.101874790054802,-0.00442814478557014,0.10215121837045,-9.45756279009104,0.447433346671093,-6.6102727588855,9.46814081687783
-0.00751027728684942,-0.101869125797915,-0.00442816245306161,0.102145597339077,-9.45707674757359,0.447488171718981,-6.60979307600826,9.46765790854979
-0.00751072557820393,-0.101862431473343,-0.00442818332061516,0.102138954098681,-9.4565023157481,0.447552954245622,-6.60922617747983,9.46708718110292
-0.00751124267228254,-0.101854706979569,-0.00442820738213277,0.102131288547515,-9.455839485636,0.447627688932371,-6.60857206263119,9.46642862572849
-0.0075118284985894,-0.101845952199462,-0.00442823463057823,0.102122600568176,-9.45508824687759,0.447712369642947,-6.60783073069095,9.46568223226271
-0.0075124829772385,-0.101836167000278,-0.00442826505797707,0.102112890027615,-9.45424858773218,0.447806989423707,-6.60700218078559,9.46484798918676
-0.00751320601895687,-0.101825351233657,-0.00442829865541659,0.102102156777126,-9.45332049507813,0.447911540503941,-6.60608641193967,9.46392588362678
-0.00751399752508868,-0.10181350473563,-0.0044283354130458,0.102090400652359,-9.452303954413,0.448026014296218,-6.60508342307621,9.46291590135397
-0.00751485738759916,-0.101800627326614,-0.0044283753200754,0.102077621473309,-9.45119894985364,0.448150401396739,-6.60399321301696,9.46181802678463
-0.00751578548907953,-0.10178671881142,-0.00442841836477769,0.102063819044326,-9.45000546413639,0.448284691585769,-6.60281578048279,9.46063224298026
-0.00751678170275207,-0.10177177897925,-0.0044284645344866,0.102048993154113,-9.44872347861713,0.448428873828078,-6.60155112409406,9.45935853164755
-0.00751784589247537,-0.1017558076037,-0.00442851381559764,0.102033143575724,-9.44735297327147,0.448582936273407,-6.60019924237104,9.45799687313846
-0.00751897791275014,-0.101738804442763,-0.00442856619356782,0.102016270066569,-9.44589392669499,0.448746866256973,-6.59876013373441,9.4565472464504
-0.00752017760872562,-0.101720769238828,-0.00442862165291561,0.101998372368414,-9.44434631610326,0.448920650300036,-6.59723379650567,9.45500962922614
-0.00752144481620687,-0.101701701718687,-0.00442868017722091,0.101979450207383,-9.44271011733222,0.44910427411054,-6.59562022890775,9.45338399775407
-0.00752277936166056,-0.101681601593534,-0.00442874174912499,0.101959503293957,-9.44098530483824,0.449297722583617,-6.59391942906549,9.45167032696816
-0.00752418106222353,-0.101660468558965,-0.00442880635033041,0.101938531322977,-9.43917185169837,0.44950097980234,-6.5921313950062,9.44986859044812
-0.00752564972571052,-0.101638302294988,-0.00442887396160099,0.101916533973647,-9.43726972961056,0.449714029038405,-6.59025612466038,9.44797876041949
-0.00752718515062191,-0.101615102466018,-0.00442894456276175,0.101893510909532,-9.43527890889394,0.449936852752808,-6.58829361586224,9.44600080775372
-0.00752878712615341,-0.101590868720882,-0.00442901813269879,0.101869461778564,-9.43319935848898,0.450169432596696,-6.58624386635048,9.44393470196832
-0.0075304554322043,-0.101565600692826,-0.00442909464935932,0.101844386213041,-9.43103104595787,0.450411749412091,-6.58410687376891,9.44178041122699
-0.0075321898393877,-0.101539297999514,-0.00442917408975149,0.101818283829628,-9.42877393748465,0.450663783232791,-6.58188263566727,9.43953790233968
-0.00753399010904029,-0.101511960243029,-0.00442925642994437,0.101791154229361,-9.42642799787555,0.450925513285227,-6.57957114950193,9.43720714076276
-0.00753585599323228,-0.101483587009883,-0.00442934164506792,0.101762996997648,-9.42399319055932,0.451196917989332,-6.57717241263674,9.43478809059915
-0.00753778723477914,-0.101454177871015,-0.00442942970931279,0.101733811704273,-9.42146947758749,0.451477974959579,-6.57468642234386,9.43228071459847
-0.00753978356725187,-0.101423732381796,-0.00442952059593035,0.101703597903393,-9.41885681963464,0.451768661005875,-6.5721131758046,9.42968497415714
-0.00754184471498966,-0.101392250082032,-0.00442961427723259,0.101672355133548,-9.41615517599883,0.452068952134681,-6.56945267011039,9.4270008293186
-0.00754397039311068,-0.101359730495971,-0.00442971072459197,0.101640082917656,-9.41336450460182,0.452378823549952,-6.56670490226359,9.42422823877339
-0.00754616030752634,-0.101326173132303,-0.00442980990844141,0.101606780763019,-9.41048476198949,0.452698249654393,-6.56386986917861,9.42136715985937
-0.00754841415495231,-0.101291577484165,-0.0044299117982742,0.101572448161326,-9.40751590333219,0.453027204050427,-6.56094756768276,9.41841754856185
-0.00755073162292296,-0.101255943029147,-0.00443001636264384,0.101537084588653,-9.40445788242504,0.453365659541463,-6.5579379945174,9.41537935951377
-0.0075531123898053,-0.101219269229294,-0.00443012356916402,0.101500689505468,-9.40131065168841,0.45371358813312,-6.55484114633893,9.41225254599591
-0.00755555612481248,-0.101181555531112,-0.0044302333845085,0.101463262356632,-9.39807416216821,0.454070961034409,-6.55165701971991,9.40903705993703
