J3FrcTrq1,J3FrcTrq2,J3FrcTrq3,J3FrcTrq4,J3FrcTrq5,J3FrcTrq6,J3FrcTrq7,J3FrcTrq8
J3Mx (Nm),J3My (Nm),J3Mz (Nm),J3RadialTorq (Nm),J3Fx (N),J3Fy (N),J3Fz (N),J3RadialForce (N)
197.605112889913,326.841993728004,-497.908260287603,381.933854881093,-1706.12070166787,1044.1681960838,1.87211335818998,2000.28374746498
197.604961910093,326.836079486215,-497.898550849503,381.928715633439,-1706.08968799094,1044.1675251975,1.87214375896491,2000.2569445314
197.604710067422,326.826222467301,-497.882368571381,381.920150205609,-1706.03799880546,1044.16640594761,1.87219442458382,2000.21227290448
197.604357043312,326.81242267068,-497.859713505786,381.908158507225,-1705.96563411964,1044.16483665274,1.87226535194475,2000.14973211989
197.60390239174,326.794680095557,-497.830585726323,381.892740411757,-1705.87259394507,1044.16281495893,1.87235653670335,2000.06932152759
197.60334553925,326.772994740947,-497.794985327681,381.873895756532,-1705.75887829683,1044.16033783969,1.8724679732763,1999.97104029182
197.602685784953,326.747366605695,-497.75291242568,381.851624342733,-1705.62448719363,1044.15740159595,1.87259965483489,1999.85488739111
197.601922300525,326.717795688516,-497.704367157319,381.8259259354,-1705.46942065798,1044.15400185611,1.87275157331283,1999.72086161834
197.601054130209,326.684281988025,-497.649349680841,381.79680026344,-1705.2936787164,1044.15013357604,1.87292371939641,1999.56896158072
197.600080190814,326.646825502786,-497.587860175801,381.764247019628,-1705.09726139962,1044.14579103904,1.87311608253435,1999.3991856998
197.598999271716,326.605426231359,-497.519898843152,381.728265860614,-1704.88016874287,1044.14096785586,1.87332865092765,1999.21153221156
197.597810034856,326.560084172356,-497.445465905328,381.688856406927,-1704.64240078614,1044.13565696474,1.87356141153592,1999.00599916637
197.596511014743,326.510799324502,-497.364561606346,381.646018242985,-1704.38395757453,1044.12985063135,1.87381435007151,1998.78258442905
197.595100618451,326.4575716867,-497.27718621192,381.5997509171,-1704.10483915859,1044.12354044883,1.8740874510046,1998.54128567891
197.593577125619,326.400401258107,-497.183340009574,381.550053941486,-1703.80504559468,1044.1167173378,1.87438069755706,1998.28210040979
197.591938688456,326.339288038207,-497.083023308767,381.49692679227,-1703.48457694542,1044.10937154633,1.87469407170373,1998.00502593006
197.590183331735,326.274232026901,-496.976236441041,381.440368909497,-1703.1434332801,1044.10149264996,1.87502755417276,1997.71005936272
197.588308952797,326.205233224595,-496.862979760157,381.380379697145,-1702.78161467519,1044.09306955172,1.87538112444119,1997.39719764542
197.586313321549,326.132291632293,-496.743253642258,381.316958523132,-1702.3991212148,1044.08409048212,1.87575476073833,1997.0664375305
197.584194080464,326.055407251703,-496.617058486034,381.25010471933,-1701.99595299123,1044.07454299913,1.87614844004159,1996.71777558506
197.581948744584,325.974580085341,-496.484394712892,381.179817581573,-1701.57211010556,1044.06441398822,1.87656213807622,1996.351208191
197.579574701519,325.889810136645,-496.345262767149,381.106096369675,-1701.12759266822,1044.05368966238,1.87699582931334,1995.96673154509
197.577069211445,325.801097410097,-496.19966311622,381.028940307436,-1700.6624007996,1044.04235556206,1.87744948696987,1995.56434165903
197.57442940711,325.708441911343,-496.047596250823,380.948348582665,-1700.17653463075,1044.03039655524,1.87792308300624,1995.1440343595
197.571652293827,325.611843647326,-495.889062685195,380.864320347185,-1699.66999430404,1044.01779683741,1.87841658812673,1994.70580528827
197.56873474948,325.511302626424,-495.724062957313,380.776854716855,-1699.14277997387,1044.00453993157,1.87892997177568,1994.2496499022
197.565673524524,325.406818858589,-495.552597629122,380.685950771584,-1698.59489180744,1043.99060868828,1.87946320213631,1993.7755634734
197.562465241985,325.298392355498,-495.374667286784,380.591607555346,-1698.02632998551,1043.97598528561,1.88001624612978,1993.28354108921
197.559106397461,325.186023130706,-495.190272540924,380.493824076196,-1697.43709470322,1043.96065122919,1.88058906941528,1992.77357765236
197.555593359123,325.069711199803,-494.999414026891,380.392599306294,-1696.82718617093,1043.94458735221,1.88118163638505,1992.24566788103
197.551922367714,324.949456580585,-494.802092405029,380.287932181915,-1696.19660461508,1043.92777381543,1.88179391016359,1991.69980630891
197.548089536558,324.825259293218,-494.598308360955,380.179821603475,-1695.54535027909,1043.9101901072,1.8824258526069,1991.13598728532
197.544090851549,324.697119360423,-494.388062605852,380.068266435547,-1694.8734234243,1043.89181504345,1.88307742430088,1990.55420497527
197.539922171164,324.565036807653,-494.171355876762,379.953265506882,-1694.18082433093,1043.87262676776,1.8837485845571,1989.95445335959
197.53557922646,324.429011663284,-493.948188936893,379.83481761043,-1693.46755329908,1043.8526027513,1.88443929141302,1989.33672623502
197.531057621075,324.289043958811,-493.718562575944,379.712921503364,-1692.73361064974,1043.8317197929,1.88514950162761,1988.70101721428
197.52635283123,324.145133729043,-493.482477610425,379.587575907098,-1691.97899672582,1043.80995401907,1.88587917068276,1988.04731972622
197.521460205736,323.997281012318,-493.239934883993,379.458779507315,-1691.20371189329,1043.78728088396,1.88662825277729,1987.37562701588
197.51637496599,323.845485850704,-492.990935267801,379.326530953985,-1690.40775654226,1043.76367516946,1.8873967008266,1986.68593214466
197.511092205983,323.689748290228,-492.73547966085,379.190828861394,-1689.5911310881,1043.73911098518,1.8881844664611,1985.97822799035
197.505606892299,323.530068381089,-492.473568990355,379.051671808168,-1688.75383597268,1043.71356176846,1.8889915000199,1985.25250724734
197.499913864121,323.366446177896,-492.205204212118,378.909058337298,-1687.89587166551,1043.68700028444,1.88981775055539,1984.50876242667
197.494007833235,323.1988817399,-491.930386310911,378.762986956164,-1687.01723866503,1043.65939862603,1.89066316582257,1983.74698585617
197.487883384029,323.027375131231,-491.649116300872,378.613456136568,-1686.11793749983,1043.63072821399,1.89152769228347,1982.96716968061
197.481534973503,322.851926421153,-491.361395225901,378.460464314756,-1685.19796872997,1043.60095979693,1.89241127509989,1982.16930586181
