J1FrcTrq1,J1FrcTrq2,J1FrcTrq3,J1FrcTrq4,J1FrcTrq5,J1FrcTrq6,J1FrcTrq7,J1FrcTrq8
J1Mx (Nm),J1My (Nm),J1Mz (Nm),J1RadialTorq (Nm),J1Fx (N),J1Fy (N),J1Fz (N),J1RadialForce (N)
101.121518042152,-562.572708761231,-7.08856320117209,571.588675582449,-1209.07096713143,-1.87211335819234,-3991.80316970923,1209.07241651133
101.121398685241,-562.570908641005,-7.0886002042032,571.586882740696,-1209.07076449646,-1.87214375896724,-3991.76689644649,1209.07221392368
101.121199757266,-562.567908205369,-7.08866186921311,571.583894439752,-1209.07042542799,-1.87219442458581,-3991.70644133875,1209.07187493407
101.120921256215,-562.56370660248,-7.08874818663249,571.579709841092,-1209.0699479081,-1.87226535194736,-3991.62180439691,1209.07139752458
101.120563179267,-562.558302639731,-7.08885914306425,571.574327770752,-1209.06932911167,-1.87235653670564,-3991.51298563636,1209.0707788701
101.1201255228,-562.551694783724,-7.08899472128421,571.567746719308,-1209.06856540646,-1.87246797327907,-3991.3799850771,1209.07001533838
101.119608282382,-562.543881160237,-7.08915490023797,571.55996484184,-1209.06765235303,-1.87259965483668,-3991.22280274394,1209.06910248998
101.119011452784,-562.534859554177,-7.08933965504437,571.550979957892,-1209.0665847048,-1.87275157331464,-3991.04143866668,1209.06803507834
101.118335027967,-562.524627409527,-7.08954895698938,571.540789551416,-1209.06535640804,-1.87292371939884,-3990.83589288035,1209.0668070497
101.117579001091,-562.513181829286,-7.0897827735334,571.529390770719,-1209.06396060184,-1.87311608253663,-3990.60616542554,1209.06541154318
101.116743364512,-562.500519575399,-7.09004106830217,571.516780428396,-1209.06238961816,-1.87332865092958,-3990.35225634867,1209.06384089071
101.115828109787,-562.486637068685,-7.09032380109219,571.502955001255,-1209.06063498178,-1.87356141153714,-3990.07416570234,1209.06208661711
101.114833227665,-562.471530388746,-7.09063092786531,571.48791063024,-1209.05868741036,-1.87381435007228,-3989.7718935458,1209.06013944
101.113758708102,-562.455195273878,-7.09096240075306,571.471643120336,-1209.0565368144,-1.87408745100652,-3989.4454399453,1209.05798926991
101.112604540248,-562.437627120966,-7.09131816805047,571.454147940476,-1209.05417229725,-1.87438069755876,-3989.0948049746,1209.05562521019
101.111370712457,-562.418820985379,-7.09169817421666,571.435420223437,-1209.05158215514,-1.87469407170533,-3988.71998871548,1209.05303555705
101.110057212284,-562.398771580856,-7.09210235987623,571.41545476573,-1209.04875387714,-1.87502755417495,-3988.32099125828,1209.05020779958
101.108664026484,-562.377473279371,-7.09253066181295,571.394246027477,-1209.04567414522,-1.87538112444258,-3987.89781270249,1209.04712861973
101.107191141022,-562.354920111011,-7.09298301297446,571.371788132288,-1209.04232883419,-1.87575476074016,-3987.45045315735,1209.04378389235
101.105638541064,-562.331105763827,-7.09345934246534,571.348074867121,-1209.03870301177,-1.87614844004474,-3986.97891274254,1209.04015868513
101.104006210981,-562.306023583691,-7.09395957554911,571.323099682144,-1209.03478093856,-1.87656213807804,-3986.48319158886,1209.03623725868
101.102294134356,-562.279666574134,-7.09448363364505,571.296855690585,-1209.03054606805,-1.876995829316,-3985.96328983897,1209.03200306648
101.100502293977,-562.252027396186,-7.09503143432656,571.269335668576,-1209.02598104662,-1.87744948697195,-3985.41920764815,1209.02743875493
101.098630671844,-562.223098368203,-7.09560289132024,571.240532054986,-1209.02106771358,-1.877923083008,-3984.85094518513,1209.02252616335
101.09667924917,-562.192871465682,-7.09619791450412,571.21043695125,-1209.01578710116,-1.87841658812954,-3984.25850263294,1209.01724632394
101.094648006379,-562.161338321076,-7.096816409905,571.179042121187,-1209.0101194345,-1.87892997177892,-3983.64188018975,1209.01157946186
101.09253692311,-562.128490223601,-7.0974582796953,571.146338990819,-1209.00404413169,-1.87946320213814,-3983.00107806987,1209.0055049952
101.090345978221,-562.094318119028,-7.09812342219451,571.112318648173,-1208.99753980377,-1.8800162461323,-3982.33609650463,1208.99900153501
101.088075149788,-562.058812609472,-7.0988117318637,571.076971843077,-1208.99058425476,-1.88058906941819,-3981.64693574344,1208.9920468853
101.085724415104,-562.021963953172,-7.09952309930495,571.040288986957,-1208.98315448163,-1.88118163638796,-3980.9335960548,1208.98461804305
101.083293750687,-561.983762064268,-7.10025741125801,571.002260152616,-1208.97522667436,-1.88179391016592,-3980.19607772738,1208.97669119824
101.080783132278,-561.944196512559,-7.10101455059865,570.962875074011,-1208.96677621593,-1.88242585260946,-3979.43438107111,1208.96824173385
101.078192534846,-561.90325652327,-7.10179439633708,570.922123146027,-1208.95777768237,-1.88307742430288,-3978.64850641837,1208.95924422591
101.075521932585,-561.860930976792,-7.10259682361306,570.879993424233,-1208.94820484271,-1.88374858455927,-3977.83845412516,1208.94967244346
101.072771298921,-561.817208408433,-7.10342170369506,570.836474624641,-1208.93803065909,-1.88443929141476,-3977.00422457228,1208.93949934863
101.069940606512,-561.772077008146,-7.10426890397684,570.791555123453,-1208.92722728671,-1.88514950162926,-3976.14581816668,1208.92869709663
101.067029827253,-561.725524620261,-7.10513828797552,570.745222956802,-1208.91576607387,-1.88587917068548,-3975.26323534269,1208.91723703578
101.064038932271,-561.677538743198,-7.1060297153273,570.697465820482,-1208.90361756203,-1.88662825277993,-3974.35647656338,1208.90508970752
101.060967891937,-561.628106529193,-7.10694304178524,570.648271069686,-1208.8907514858,-1.88739670082896,-3973.42554232194,1208.89222484646
101.057816675864,-561.577214783983,-7.10787811921779,570.597625718709,-1208.87713677296,-1.88818446646269,-3972.47043314309,1208.87861138039
101.054585252906,-561.524849966524,-7.10883479560162,570.545516440682,-1208.86274154453,-1.8889915000218,-3971.49114958451,1208.86421743033
101.051273591169,-561.470998188663,-7.10981291502354,570.491929567256,-1208.84753311476,-1.88981775055754,-3970.48769223837,1208.84901031054
101.047881658004,-561.415645214835,-7.11081231767298,570.436851088321,-1208.83147799119,-1.89066316582534,-3969.46006173283,1208.83295652856
101.044409420017,-561.358776461727,-7.11183283984145,570.380266651685,-1208.81454187468,-1.89152769228508,-3968.4082587336,1208.81602178525
101.040856843073,-561.300376997954,-7.11287431391764,570.322161562767,-1208.79668965944,-1.89241127510263,-3967.33228394555,1208.79817097482
101.037223892286,-561.240431543718,-7.11393656838386,570.262520784277,-1208.77788543309,-1.89331385813421,-3966.23213811435,1208.77936818489
101.033510532044,-561.178924470459,-7.11501942781506,570.201328935885,-1208.75809247666,-1.89423538394203,-3965.10782202814,1208.75957669651
101.029716725986,-561.115839800505,-7.11612271286944,570.138570293889,-1208.7372732647,-1.89517579376979,-3963.95933651925,1208.73875898421
101.025842437028,-561.051161206711,-7.11724624029166,570.074228790874,-1208.71538946527,-1.89613502756129,-3962.78668246595,1208.71687671606
101.021887627355,-560.984872012087,-7.1183898229051,570.008288015369,-1208.69240194001,-1.89711302394585,-3961.58986079424,1208.69389075371
101.017852258423,-560.916955189434,-7.11955326960866,569.940731211492,-1208.66827074422,-1.89810972023292,-3960.36887247968,1208.66976115245
101.013736290968,-560.84739336095,-7.12073638537199,569.871541278588,-1208.64295512685,-1.8991250524175,-3959.12371854924,1208.64444716125
101.009539685004,-560.776168797848,-7.12193897123328,569.800700770865,-1208.61641353065,-1.90015895516808,-3957.85440008323,1208.61790722285
101.00526239983,-560.703263419967,-7.12316082429364,569.72819189703,-1208.58860359215,-1.90121136183438,-3956.5609182172,1208.59009897379
101.000904394038,-560.628658795356,-7.12440173771532,569.653996519899,-1208.55948214178,-1.90228220443691,-3955.24327414397,1208.56097924449
100.996465625499,-560.552336139879,-7.12566150071238,569.578096156021,-1208.52900520391,-1.90337141365671,-3953.90146911559,1208.53050405933
100.991946051392,-560.47427631679,-7.12693989855332,569.500471975289,-1208.49712799693,-1.90447891885015,-3952.53550444545,1208.4986286367
100.987345628186,-560.394459836319,-7.12823671255085,569.421104800539,-1208.46380493333,-1.90560464803184,-3951.14538151031,1208.46530738909
100.982664311657,-560.312866855236,-7.12955172006073,569.339975107153,-1208.42898961979,-1.90674852787311,-3949.73110175247,1208.43049392319
100.977902056885,-560.229477176417,-7.13088469447577,569.257063022648,-1208.39263485722,-1.9079104837017,-3948.29266668192,1208.39414103991
100.97305881826,-560.144270248413,-7.13223540522145,569.172348326272,-1208.35469264093,-1.90909043949819,-3946.83007787857,1208.35620073456
100.968134549488,-560.057225164987,-7.13360361775281,569.085810448573,-1208.31511416063,-1.91028831788617,-3945.34333699442,1208.31662419685
100.963129203592,-559.96832066467,-7.13498909354633,568.997428470983,-1208.27384980058,-1.91150404013933,-3943.83244575594,1208.27536181105
100.958042732919,-559.877535130295,-7.13639159009917,568.90718112539,-1208.2308491397,-1.91273752616689,-3942.29740596629,1208.23236315606
100.952875089142,-559.784846588534,-7.13781086092118,568.815046793694,-1208.18606095163,-1.91398869451837,-3940.73821950774,1208.18757700555
100.947626223264,-559.690232709425,-7.13924665553147,568.721003507381,-1208.13943320488,-1.91525746237357,-3939.15488834402,1208.14095132801
100.942296085626,-559.593670805889,-7.14069871945246,568.625028947062,-1208.09091306292,-1.91654374554219,-3937.54741452279,1208.09243328693
100.936884625906,-559.495137833244,-7.14216679420517,568.527100442032,-1208.04044688433,-1.91784745845666,-3935.91580017805,1208.04196924087
100.931391793131,-559.394610388726,-7.14365061730703,568.427194969816,-1207.98798022287,-1.91916851417477,-3934.2600475327,1207.98950474361
100.925817535671,-559.292064710975,-7.14514992225953,568.325289155699,-1207.93345782769,-1.92050682436593,-3932.58015890103,1207.9349845443
100.920161801256,-559.187476679546,-7.14666443855024,568.221359272273,-1207.8768236434,-1.92186229931599,-3930.87613669136,1207.87835258753
100.914424536972,-559.080821814394,-7.14819389164305,568.115381238958,-1207.81802081022,-1.9232348479195,-3929.1479834086,1207.81955201354
100.908605689267,-558.972075275356,-7.1497380029756,568.007330621525,-1207.75699166416,-1.9246243776729,-3927.39570165691,1207.75852515835
100.90270520396,-558.861211861642,-7.15129648995077,567.897182631628,-1207.69367773716,-1.92603079467381,-3925.61929414244,1207.69521355387
100.896723026241,-558.748206011297,-7.15286906593353,567.784912126306,-1207.62801975723,-1.92745400361537,-3923.818763676,1207.62955792813
100.890659100683,-558.633031800683,-7.15445544024409,567.670493607509,-1207.55995764862,-1.92889390778396,-3921.99411317586,1207.56149820539
100.884513371234,-558.515662943929,-7.15605531815287,567.553901221591,-1207.48943053202,-1.93035040904897,-3920.14534567054,1207.49097350633
100.878285781243,-558.396072792403,-7.15766840087491,567.435108758826,-1207.41637672472,-1.93182340786962,-3918.27246430165,1207.41792214822
100.871976273441,-558.274234334147,-7.15929438556224,567.314089652891,-1207.34073374077,-1.93331280327175,-3916.37547232678,1207.34228164514
100.865584789968,-558.150120193351,-7.16093296530121,567.190816980383,-1207.26243829122,-1.93481849286582,-3914.45437312242,1207.26398870813
100.859111272362,-558.023702629767,-7.16258382910316,567.065263460287,-1207.18142628429,-1.9363403728255,-3912.50917018688,1207.1829792454
100.852555661577,-557.894953538168,-7.16424666190085,566.937401453481,-1207.09763282558,-1.93787833788906,-3910.53986714332,1207.09918836256
100.845917897979,-557.763844447768,-7.16592114454089,566.807202962207,-1207.01099221828,-1.93943228135277,-3908.54646774274,1207.01255036281
100.839197921358,-557.630346521658,-7.16760695377828,566.674639629556,-1206.92143796341,-1.9410020950711,-3906.5289758671,1206.92299874714
100.832395670935,-557.494430556225,-7.16930376227217,566.539682738949,-1206.82890276003,-1.94258766944859,-3904.48739553235,1206.83046621463
100.825511085355,-557.356066980569,-7.17101123857302,566.4023032136,-1206.73331850549,-1.94418889342592,-3902.42173089162,1206.73488466263
100.818544102709,-557.215225855917,-7.17272904712522,566.262471615991,-1206.63461629566,-1.94580565449405,-3900.33198623841,1206.636185187
100.811494660539,-557.07187687504,-7.17445684825562,566.120158147342,-1206.53272642521,-1.94743783867625,-3898.21816600975,1206.5342980824
100.804362695825,-556.925989361648,-7.17619429816581,565.97533264707,-1206.42757838785,-1.94908533052103,-3896.0802747895,1206.42915284255
100.797148145016,-556.77753226979,-7.1779410489286,565.827964592247,-1206.3191008766,-1.95074801310807,-3893.91831731159,1206.32067816047
100.789850944021,-556.626474183257,-7.17969674848241,565.678023097064,-1206.20722178409,-1.95242576803298,-3891.73229846342,1206.20880192878
100.782471028219,-556.472783314972,-7.18146104062039,565.525476912284,-1206.09186820283,-1.95411847540663,-3889.52222328915,1206.09345123999
100.775008332463,-556.316427506374,-7.18323356498553,565.370294424692,-1205.97296642552,-1.95582601384717,-3887.28809699313,1205.97455238681
100.767462791098,-556.157374226807,-7.18501395706805,565.212443656553,-1205.85044194536,-1.95754826048301,-3885.02992494336,1205.85203086241
100.759834337949,-555.995590572889,-7.18680184819185,565.051892265044,-1205.72421945636,-1.95928509093528,-3882.74771267491,1205.72581136082
100.752122906343,-555.831043267907,-7.18859686551272,564.888607541722,-1205.59422285367,-1.96103637932083,-3880.4414658935,1205.59581777718
100.74432842911,-555.663698661171,-7.19039863200887,564.722556411947,-1205.46037523393,-1.96280199824469,-3878.11119047899,1205.46197320812
100.736450838589,-555.493522727387,-7.19220676647582,564.553705434335,-1205.32259889559,-1.96458181879393,-3875.75689248899,1205.32419995209
100.728490066637,-555.320481066036,-7.19402088351747,564.382020800201,-1205.18081533932,-1.96637571053429,-3873.37857816249,1205.18241950975
100.720446044634,-555.144538900713,-7.19584059354016,564.207468332984,-1205.03494526831,-1.96818354149991,-3870.97625392351,1205.0365525843
100.71231870349,-554.965661078504,-7.19766550274577,564.0300134877,-1204.88490858873,-1.97000517819401,-3868.5499263848,1204.88651908189
100.704107973659,-554.783812069331,-7.19949521312524,563.849621350365,-1204.73062441004,-1.97184048558074,-3866.09960235159,1204.73223811198
100.695813785136,-554.598955965311,-7.20132932244864,563.666256637439,-1204.57201104549,-1.97368932707468,-3863.62528882531,1204.57362798781
100.687436067467,-554.411056480094,-7.20316742425985,563.479883695252,-1204.40898601243,-1.97555156454382,-3861.12699300746,1204.41060622674
100.678974749764,-554.220076948226,-7.20500910787069,563.290466499444,-1204.24146603283,-1.97742705829796,-3858.60472230341,1204.24308955072
100.670429760703,-554.025980324474,-7.20685395835027,563.097968654389,-1204.06936703366,-1.97931566708144,-3856.05848432632,1204.07099388672
100.66180102854,-553.828729183181,-7.20870155652088,562.902353392634,-1203.89260414738,-1.98121724807856,-3853.48828690103,1203.89423436719
100.653088481108,-553.628285717595,-7.21055147894808,562.703583574326,-1203.71109171238,-1.98313165688978,-3850.894138068,1203.7127253305
100.644292045838,-553.424611739204,-7.21240329793488,562.501621686638,-1203.52474327346,-1.98505874754255,-3848.27604608735,1203.52638032146
100.635411649756,-553.217668677085,-7.21425658151291,562.296429843214,-1203.33347158235,-1.98699837247432,-3845.63401944285,1203.33511209179
100.626447219496,-553.00741757721,-7.2161108934361,562.087969783586,-1203.13718859816,-1.98895038253295,-3842.96806684602,1203.13883260059
100.617398681306,-552.793819101794,-7.21796579317171,561.876202872608,-1202.93580548797,-1.99091462696651,-3840.27819724017,1202.93745301493
100.60826596106,-552.576833528612,-7.21982083589373,561.661090099892,-1202.72923262729,-1.99289095342101,-3837.56441980462,1202.73088371031
100.599048984263,-552.356420750327,-7.22167557247602,561.442592079235,-1202.51737960066,-1.99487920793058,-3834.8267439588,1202.51903427127
100.589747676058,-552.132540273815,-7.22352954948193,561.220669048058,-1202.30015520219,-1.9968792349141,-3832.06517936653,1202.30181349189
100.580361961239,-551.905151219482,-7.22538230915951,560.99528086683,-1202.07746743613,-1.99889087716883,-3829.27973594019,1202.07912937643
100.570891764255,-551.674212320586,-7.22723338942968,560.766387018513,-1201.84922351746,-2.00091397586107,-3826.47042384507,1201.85088913985
100.561337009222,-551.439681922554,-7.22908232388558,560.533946607991,-1201.61532987251,-2.00294837052502,-3823.63725350369,1201.61699920848
100.551697619931,-551.201517982301,-7.2309286417759,560.297918361511,-1201.37569213956,-2.00499389905281,-3820.78023560009,1201.37736522058
100.541973519853,-550.959678067542,-7.23277186800197,560.058260626121,-1201.13021516952,-2.00705039768695,-3817.8993810843,1201.13189202704
100.532164632157,-550.714119356112,-7.23461152311184,559.814931369113,-1200.8788030265,-2.00911770102107,-3814.99470117674,1200.88048369199
100.522270879705,-550.464798635276,-7.23644712328486,559.567888177465,-1200.62135898858,-2.01119564198257,-3812.06620737266,1200.62304349346
100.512292185078,-550.211672301042,-7.23827818033238,559.317088257285,-1200.35778554841,-2.01328405184017,-3809.11391144669,1200.35947392411
