J4FrcTrq1,J4FrcTrq2,J4FrcTrq3,J4FrcTrq4,J4FrcTrq5,J4FrcTrq6,J4FrcTrq7,J4FrcTrq8
J4Mx (Nm),J4My (Nm),J4Mz (Nm),J4RadialTorq (Nm),J4Fx (N),J4Fy (N),J4Fz (N),J4RadialForce (N)
104.994985927904,264.366960129456,3.78814640972552,284.453575611364,565.559852244254,-217.351174828292,-376.831489372791,605.887348993013
104.993408429745,264.361937344287,3.78804984344763,284.448325236975,565.549165629456,-217.347822842711,-376.831142842164,605.876171208804
104.990779248221,264.353566091319,3.78788890244539,284.439574659269,565.531354725307,-217.342236169034,-376.830564893116,605.857541671635
104.987098343309,264.341846386565,3.78766358892229,284.427323880119,565.506419566519,-217.33441473295,-376.829754919267,605.831460389982
104.982365658983,264.32677825246,3.78737390596357,284.411572902162,565.474360201725,-217.324358430436,-376.828712071687,605.797927375747
104.976581123221,264.308361717876,3.78701985753665,284.392321728818,565.435176693514,-217.312067127774,-376.827435258899,605.756942644301
104.969744648012,264.286596818146,3.78660144849161,284.369570364317,565.388869118479,-217.297540661564,-376.825923146882,605.70850621453
104.96185612937,264.261483595091,3.78611868456186,284.34331881372,565.335437567277,-217.280778838752,-376.824174159064,605.652618108895
104.952915447345,264.233022097047,3.78557157236479,284.313567082959,565.274882144694,-217.261781436649,-376.822186476332,605.589278353509
104.942922466034,264.201212378909,3.78496011940268,284.28031517887,565.207202969724,-217.240548202967,-376.819958037028,605.518486978213
104.931877033603,264.166054502163,3.78428433406363,284.243563109238,565.13240017566,-217.217078855848,-376.817486536953,605.440244016674
104.919778982301,264.127548534939,3.78354422562264,284.203310882846,565.050473910187,-217.191373083903,-376.814769429366,605.354549506484
104.906628128479,264.085694552058,3.7827398042428,284.159558509528,564.961424335501,-217.163430546255,-376.811803924989,605.261403489282
104.892424272617,264.040492635087,3.78187108097654,284.112306000226,564.865251628422,-217.133250872581,-376.808586992008,605.160806010878
