EEVel1,EEVel2,EEVel3,EEVel4,EEVel5,EEVel6
X-Axis (M/sn),Y-Axis (M/sn),Z-Axis (M/sn),X-Axis (rad/sn),Y-Axis (rad/sn),Z-Axis (rad/sn)
0.00595036173109859,0.000446976236165893,-0.00141335506611052,0.0022048413858886,0.00648858106565978,0.00239600590592089
0.0119006965689714,0.000893957430756068,-0.00282682719628263,0.00440968418046941,0.0129771678576931,0.00479199547644939
0.0178509776175063,0.00134094854168227,-0.00424053344898688,0.00661452979132703,0.0194657661023968,0.0071879523769043
0.023801177972664,0.0017879545262285,-0.00565459088089142,0.00881937962394379,0.025954381526373,0.00958386027271798
0.0297512707185146,0.00223498034073704,-0.00706911654596028,0.0110242350806486,0.0324430198566815,0.0119797028294933
0.0357012289232745,0.00268203094029452,-0.00848422749455123,0.013229097559566,0.0389316868209927,0.0143754637130606
0.041651025635343,0.00312911127841796,-0.00990004077251298,0.0154339684535647,0.0454203881477397,0.0167711265895352
0.0476006338793397,0.00357622630674049,-0.0113166734202813,0.0176388491492068,0.0519091295662709,0.0191666751253745
0.053550026652142,0.00402338097469737,-0.0127342424719737,0.0198437410256967,0.058397916807002,0.0215620929874361
0.0594991769189225,0.00447058022921151,-0.0141528649544844,0.0220486454538295,0.0648867556015686,0.0239573638430361
0.0654480576091878,0.00491782901437895,-0.015572657886576,0.0242535637949408,0.071375651682978,0.0263524713600072
0.0713966416128161,0.00536513227115469,-0.0169937382779699,0.0264584973998546,0.0778646107857607,0.0287473992067582
0.0773449017760964,0.00581249493703742,-0.0184162231284363,0.0286634476078329,0.0843536386461224,0.0311421310523333
0.0832928108977685,0.00625992194575491,-0.0198402294268807,0.0308684157455242,0.0908427410020955,0.033536650566472
0.0892403417250629,0.00670741822694894,-0.0212658741504291,0.0330734031259125,0.0973319235936906,0.0359309414196705
0.0951874669497402,0.00715498870585971,-0.0226932742635097,0.0352784110472669,0.103821192163046,0.0383249872832421
0.101134159204134,0.00760263830301061,-0.0241225467169348,0.0374834407920891,0.110310552454582,0.0407187718293801
0.107080391057193,0.00805037193389221,-0.0255538084469762,0.0396884936260635,0.116800010215147,0.0431122787312199
0.113026135010519,0.00849819450864655,-0.0269871763744405,0.041893570797006,0.123289571194171,0.045505491662903
0.118971363494419,0.00894611093175023,-0.0284227674037413,0.0440986735338121,0.129779241143813,0.0478983942996417
0.124916048863941,0.00939412610169851,-0.029860698421966,0.046303803045407,0.136269025819115,0.0502909703177841
0.130860163394923,0.00984224491068824,-0.0313010862979421,0.0485089605196936,0.142758930978145,0.0526832033948802
0.136803679280039,0.0102904722443003,-0.0327440478812974,0.0507141471225023,0.149248962382152,0.0550750772097499
0.142746568624846,0.0107388129811823,-0.0341897000015174,0.052919363996539,0.15573912579571,0.0574665754425514
0.148688803443831,0.0111872719927309,-0.0356381594670002,0.0551246122603348,0.162229426986869,0.0598576817748495
0.154630355656459,0.0116358541427734,-0.0370895430641044,0.0573298930071949,0.168719871727301,0.0622483798896883
0.160571197083228,0.012084564287249,-0.038543967556195,0.0595352073041475,0.175210465792449,0.0646386534716612
0.166511299441713,0.0125334072738898,-0.0400015496826837,0.0617405561908927,0.181701214961673,0.0670284862069851
0.172450634342625,0.0129823879419016,-0.0414624061580657,0.0639459406787516,0.188192125018396,0.0694178617835748
0.178389173285861,0.0134315111216438,-0.0429266536709493,0.0661513617496159,0.19468320175025,0.0718067638911178
0.184326887656562,0.0138807816343095,-0.0443944088830844,0.0683568203548958,0.201174450949223,0.0741951762211536
0.190263748721165,0.0143302042916036,-0.0458657884283805,0.0705623174144701,0.207665878411802,0.0765830824671499
0.196199727623464,0.0147797838954236,-0.0473409089119255,0.0727678538156352,0.214157489939119,0.0789704663245845
0.202134795380671,0.0152295252375355,-0.0488198869089926,0.0749734304120538,0.220649291337094,0.081357311491027
0.208068922879472,0.0156794330992535,-0.0503028389640476,0.0771790480227043,0.227141288416578,0.0837436016662205
0.214002080872092,0.0161295122511166,-0.051789881589745,0.07938470743083,0.233633486993497,0.0861293205521694
0.219934239972358,0.0165797674525647,-0.0532811312659215,0.0815904093828881,0.240125892888992,0.0885144518532236
0.225865370651768,0.0170302034516159,-0.054776704438582,0.0837961545874999,0.246618511929564,0.0908989792761685
0.231795443235552,0.017480824984541,-0.0562767175188787,0.0860019437143986,0.253111349947209,0.0932828865303144
0.237724427898746,0.0179316367755397,-0.0577812868820855,0.0882077773933798,0.259604412779565,0.09566615732759
0.243652294662261,0.0183826435364136,-0.0592905288665622,0.0904136562132499,0.266097706270047,0.0980487753826343
0.249579013388956,0.0188338499662415,-0.0608045597727158,0.0926195807207767,0.272591236267987,0.100430724412895
0.255504553779713,0.0192852607510518,-0.0623234958619515,0.0948255514196378,0.279085008628774,0.102811988138726
0.261428885369511,0.0197368805634949,-0.0638474533556174,0.0970315687693706,0.285579029213986,0.105192550283486
0.267351977523509,0.0201887140625159,-0.0653765484339432,0.0992376331843216,0.292073303891533,0.107572394573642
0.273273799433123,0.020640765893025,-0.0669108972349678,0.101443745032596,0.298567838535788,0.109951504738874
0.279194320112112,0.0210930406855682,-0.0684506158534635,0.103649904635008,0.305062639027728,0.112329864512181
0.285113508392658,0.0215455430559973,-0.0699958203398466,0.10585611226403,0.311557711255057,0.11470745762999
0.29103133292146,0.0219982776051396,-0.0715466266990875,0.108062368142741,0.318053061112355,0.117084267832268
0.296947762155816,0.0224512489184654,-0.0731031508896032,0.110268672443779,0.324548694501196,0.119460278862633
