AllTrq1,AllTrq2,AllTrq3,AllTrq4,AllTrq5,AllTrq6
J1 Trq (Nm),J2 Trq (Nm),J3 Trq (Nm),J4 Trq (Nm),J5 Trq (Nm),J6 Trq (Nm)
7.08856320117097,-590.040541288877,497.908260287603,-3.78814640972553,-5.45763863476549,0.00442810620534912
7.08860020420204,-590.032473388486,497.898550849503,-3.78804984344762,-5.45755859505087,0.00442811103037563
7.08866186921156,-590.019027241041,497.882368571381,-3.7878889024454,-5.45742519407534,0.00442811907047456
7.08874818663088,-590.000202793688,497.859713505786,-3.78766358892229,-5.45723842974321,0.00442813032330057
7.08885914306327,-589.97599997243,497.830585726323,-3.78737390596357,-5.45699829912046,0.00442814478557014
7.08899472128302,-589.946418682111,497.794985327681,-3.78701985753665,-5.45670479843473,0.00442816245306161
7.08915490023695,-589.911458806427,497.75291242568,-3.78660144849162,-5.4563579230752,0.00442818332061516
7.08933965504289,-589.871120207894,497.704367157319,-3.78611868456186,-5.45595766759259,0.00442820738213277
7.08954895698847,-589.825402727858,497.649349680841,-3.78557157236479,-5.45550402569899,0.00442823463057823
7.0897827735323,-589.774306186474,497.587860175801,-3.78496011940269,-5.4549969902678,0.00442826505797707
7.09004106830119,-589.71783038269,497.519898843152,-3.78428433406363,-5.45443655333362,0.00442829865541659
7.09032380109043,-589.655975094237,497.445465905327,-3.78354422562265,-5.45382270609204,0.0044283354130458
7.0906309278647,-589.588740077615,497.364561606346,-3.78273980424281,-5.4531554388996,0.0044283753200754
7.0909624007523,-589.516125068062,497.27718621192,-3.78187108097655,-5.45243474127353,0.00442841836477769
7.09131816804943,-589.438129779551,497.183340009573,-3.78093806776708,-5.45166060189163,0.0044284645344866
7.09169817421613,-589.354753904754,497.083023308767,-3.77994077744993,-5.45083300859204,0.00442851381559764
7.09210235987508,-589.265997115029,496.976236441041,-3.77887922375452,-5.44995194837308,0.00442856619356782
7.0925306618119,-589.171859060391,496.862979760157,-3.7777534213059,-5.44901740739295,0.00442862165291561
7.09298301297361,-589.072339369486,496.743253642258,-3.77656338562671,-5.44802937096961,0.00442868017722091
7.09345934246396,-588.967437649567,496.617058486034,-3.77530913313899,-5.44698782358043,0.00442874174912499
7.09395957554852,-588.857153486455,496.484394712892,-3.77399068116634,-5.44589274886194,0.00442880635033041
7.09448363364335,-588.741486444522,496.345262767149,-3.77260804793612,-5.44474412960963,0.00442887396160099
7.09503143432507,-588.620436066645,496.199663116219,-3.77116125258167,-5.44354194777755,0.00442894456276175
7.09560289131927,-588.494001874183,496.047596250823,-3.76965031514475,-5.44228618447807,0.00442901813269879
7.09619791450301,-588.362183366933,495.889062685195,-3.76807525657811,-5.44097681998156,0.00442909464935932
7.09681640990321,-588.224980023103,495.724062957312,-3.76643609874802,-5.43961383371603,0.00442917408975149
7.09745827969421,-588.082391299258,495.552597629122,-3.76473286443706,-5.43819720426678,0.00442925642994437
7.09812342219285,-587.934416630294,495.374667286785,-3.76296557734695,-5.43672690937603,0.00442934164506792
7.09881173186256,-587.781055429392,495.190272540924,-3.76113426210152,-5.4352029259426,0.00442942970931279
7.09952309930361,-587.622307087965,494.999414026891,-3.7592389442497,-5.43362523002141,0.00442952059593035
7.10025741125608,-587.458170975634,494.802092405028,-3.75727965026879,-5.43199379682319,0.00442961427723259
7.10101455059756,-587.288646440156,494.598308360955,-3.75525640756764,-5.43030860071397,0.00442971072459197
7.1017943963355,-587.113732807397,494.388062605852,-3.75316924449013,-5.42856961521469,0.00442980990844141
7.10259682361126,-586.933429381269,494.171355876761,-3.75101819031857,-5.42677681300073,0.0044299117982742
7.10342170369429,-586.747735443686,493.948188936893,-3.74880327527737,-5.42493016590144,0.00443001636264384
7.10426890397589,-586.556650254512,493.718562575944,-3.74652453053669,-5.42302964489969,0.00443012356916402
7.10513828797454,-586.360173051497,493.482477610425,-3.74418198821627,-5.42107522013135,0.0044302333845085
7.10602971532593,-586.158303050232,493.239934883993,-3.74177568138936,-5.41906686088477,0.00443034577441104
7.10694304178453,-585.951039444086,492.990935267801,-3.73930564408677,-5.41700453560029,0.00443046070366523
7.10787811921633,-585.738381404148,492.735479660849,-3.73677191130092,-5.41488821186969,0.00443057813612449
7.10883479560035,-585.520328079168,492.473568990354,-3.7341745189901,-5.41271785643561,0.00443069803470192
7.10981291502231,-585.296878595494,492.205204212117,-3.73151350408285,-5.41049343519104,0.00443082036137019
7.11081231767183,-585.068032057004,491.930386310911,-3.72878890448237,-5.40821491317866,0.00443094507716147
7.11183283984067,-584.833787545053,491.649116300872,-3.72600075907104,-5.40588225459034,0.00443107214216731
7.11287431391616,-584.59414411839,491.361395225901,-3.72314910771512,-5.40349542276645,0.00443120151553853
7.11393656838321,-584.349100813103,491.067224160075,-3.72023399126942,-5.40105438019525,0.00443133315548516
7.11501942781319,-584.098656642546,490.766604208072,-3.71725545158222,-5.39855908851228,0.00443146701927626
7.1161227128678,-583.842810597262,490.459536505594,-3.7142135315002,-5.3960095084997,0.00443160306323989
7.11724624029054,-583.581561644916,490.146022219812,-3.71110827487346,-5.39340560008557,0.00443174124276296
7.11838982290417,-583.31490873022,489.826062549814,-3.70793972656077,-5.39074732234324,0.00443188151229113
7.11955326960721,-583.042850774859,489.499658727066,-3.70470793243463,-5.38803463349059,0.00443202382532871
7.12073638537083,-582.765386677406,489.166812015873,-3.70141293938685,-5.38526749088936,0.00443216813443858
7.12193897123218,-582.482515313251,488.827523713865,-3.69805479533386,-5.38244585104438,0.00443231439124203
