AllAngularVel1,AllAngularVel2,AllAngularVel3,AllAngularVel4,AllAngularVel5,AllAngularVel6
J1 (Rad/Sn),J2 (Rad/Sn),J3 (Rad/Sn),J4 (Rad/Sn),J5 (Rad/Sn),J6 (Rad/Sn)
-1.18968799510738e-19,-0.0066755939814645,0.00647954053499479,0.00070414864955536,0.00673408815901345,0.00150095747459566
-2.37937599021476e-19,-0.013351187962929,0.0129590810699896,0.00140829729911072,0.0134681763180269,0.00300191494919133
-3.56906398532214e-19,-0.0200267819443935,0.0194386216049844,0.00211244594866608,0.0202022644770404,0.00450287242378699
-4.75875198042952e-19,-0.026702375925858,0.0259181621399792,0.00281659459822144,0.0269363526360538,0.00600382989838266
-5.9484399755369e-19,-0.0333779699073225,0.0323977026749739,0.0035207432477768,0.0336704407950673,0.00750478737297832
-7.13812797064428e-19,-0.040053563888787,0.0388772432099687,0.00422489189733216,0.0404045289540807,0.00900574484757399
-8.32781596575166e-19,-0.0467291578702515,0.0453567837449635,0.00492904054688752,0.0471386171130942,0.0105067023221697
-9.51750396085904e-19,-0.053404751851716,0.0518363242799583,0.00563318919644288,0.0538727052721076,0.0120076597967653
-1.07071919559664e-18,-0.0600803458331805,0.0583158648149531,0.00633733784599824,0.0606067934311211,0.013508617271361
-1.18968799510738e-18,-0.066755939814645,0.0647954053499479,0.00704148649555359,0.0673408815901345,0.0150095747459566
-1.30865679461812e-18,-0.0734315337961095,0.0712749458849427,0.00774563514510895,0.074074969749148,0.0165105322205523
-1.42762559412886e-18,-0.080107127777574,0.0777544864199375,0.00844978379466431,0.0808090579081615,0.018011489695148
-1.54659439363959e-18,-0.0867827217590385,0.0842340269549323,0.00915393244421967,0.0875431460671749,0.0195124471697436
-1.66556319315033e-18,-0.093458315740503,0.0907135674899271,0.00985808109377503,0.0942772342261884,0.0210134046443393
-1.78453199266107e-18,-0.100133909721968,0.0971931080249218,0.0105622297433304,0.101011322385202,0.022514362118935
-1.90350079217181e-18,-0.106809503703432,0.103672648559917,0.0112663783928858,0.107745410544215,0.0240153195935306
-2.02246959168255e-18,-0.113485097684897,0.110152189094911,0.0119705270424411,0.114479498703229,0.0255162770681263
-2.14143839119328e-18,-0.120160691666361,0.116631729629906,0.0126746756919965,0.121213586862242,0.027017234542722
-2.26040719070402e-18,-0.126836285647826,0.123111270164901,0.0133788243415518,0.127947675021256,0.0285181920173176
-2.37937599021476e-18,-0.13351187962929,0.129590810699896,0.0140829729911072,0.134681763180269,0.0300191494919133
-2.4983447897255e-18,-0.140187473610755,0.136070351234891,0.0147871216406625,0.141415851339283,0.031520106966509
-2.61731358923624e-18,-0.146863067592219,0.142549891769885,0.0154912702902179,0.148149939498296,0.0330210644411046
-2.73628238874697e-18,-0.153538661573684,0.14902943230488,0.0161954189397733,0.154884027657309,0.0345220219157003
-2.85525118825771e-18,-0.160214255555148,0.155508972839875,0.0168995675893286,0.161618115816323,0.036022979390296
-2.97421998776845e-18,-0.166889849536613,0.16198851337487,0.017603716238884,0.168352203975336,0.0375239368648916
-3.09318878727919e-18,-0.173565443518077,0.168468053909865,0.0183078648884393,0.17508629213435,0.0390248943394873
-3.21215758678992e-18,-0.180241037499542,0.174947594444859,0.0190120135379947,0.181820380293363,0.0405258518140829
-3.33112638630066e-18,-0.186916631481006,0.181427134979854,0.0197161621875501,0.188554468452377,0.0420268092886786
-3.4500951858114e-18,-0.193592225462471,0.187906675514849,0.0204203108371054,0.19528855661139,0.0435277667632743
-3.56906398532214e-18,-0.200267819443935,0.194386216049844,0.0211244594866608,0.202022644770404,0.0450287242378699
-3.68803278483288e-18,-0.2069434134254,0.200865756584838,0.0218286081362161,0.208756732929417,0.0465296817124656
-3.80700158434362e-18,-0.213619007406864,0.207345297119833,0.0225327567857715,0.215490821088431,0.0480306391870613
-3.92597038385435e-18,-0.220294601388329,0.213824837654828,0.0232369054353269,0.222224909247444,0.0495315966616569
-4.04493918336509e-18,-0.226970195369793,0.220304378189823,0.0239410540848822,0.228958997406457,0.0510325541362526
-4.16390798287583e-18,-0.233645789351258,0.226783918724818,0.0246452027344376,0.235693085565471,0.0525335116108483
-4.28287678238657e-18,-0.240321383332722,0.233263459259812,0.0253493513839929,0.242427173724484,0.0540344690854439
-4.4018455818973e-18,-0.246996977314187,0.239742999794807,0.0260535000335483,0.249161261883498,0.0555354265600396
-4.52081438140804e-18,-0.253672571295651,0.246222540329802,0.0267576486831037,0.255895350042511,0.0570363840346353
-4.63978318091878e-18,-0.260348165277116,0.252702080864797,0.027461797332659,0.262629438201525,0.0585373415092309
-4.75875198042952e-18,-0.26702375925858,0.259181621399792,0.0281659459822144,0.269363526360538,0.0600382989838266
-4.87772077994026e-18,-0.273699353240045,0.265661161934786,0.0288700946317697,0.276097614519552,0.0615392564584223
-4.996689579451e-18,-0.280374947221509,0.272140702469781,0.0295742432813251,0.282831702678565,0.0630402139330179
-5.11565837896173e-18,-0.287050541202974,0.278620243004776,0.0302783919308805,0.289565790837579,0.0645411714076136
-5.23462717847247e-18,-0.293726135184438,0.285099783539771,0.0309825405804358,0.296299878996592,0.0660421288822092
-5.35359597798321e-18,-0.300401729165903,0.291579324074765,0.0316866892299912,0.303033967155605,0.0675430863568049
-5.47256477749395e-18,-0.307077323147367,0.29805886460976,0.0323908378795465,0.309768055314619,0.0690440438314006
-5.59153357700468e-18,-0.313752917128832,0.304538405144755,0.0330949865291019,0.316502143473632,0.0705450013059962
-5.71050237651542e-18,-0.320428511110296,0.31101794567975,0.0337991351786572,0.323236231632646,0.0720459587805919
