AllAngle1,AllAngle2,AllAngle3,AllAngle4,AllAngle5,AllAngle6
J1 (Rad),J2 (Rad),J3 (Rad),J4 (Rad),J5 (Rad),J6 (Rad)
-5.9484399755369e-23,1.57079298899791,3.23977026749739e-06,-2.77777341587001,3.36704407950673e-06,2.77777451842307
-2.37937599021476e-22,1.57078297560693,1.29590810699896e-05,-2.77777235964703,1.34681763180269e-05,2.77777676985928
-5.35359597798321e-22,1.57076628662198,2.91579324074765e-05,-2.77777059927541,3.03033967155605e-05,2.77778052225297
-9.51750396085904e-22,1.57074292204305,5.18363242799583e-05,-2.77776813475514,5.38727052721076e-05,2.77778577560413
-1.48710999388422e-21,1.57071288187013,8.09942566874349e-05,-2.77776496608621,8.41761019876682e-05,2.77779252991277
-2.14143839119328e-21,1.57067616610323,0.000116631729629906,-2.77776109326864,0.000121213586862242,2.77780078517888
-2.91473558801308e-21,1.57063277474235,0.000158748743107372,-2.77775651630242,0.00016498515989583,2.77781054140246
-3.80700158434362e-21,1.57058270778749,0.000207345297119833,-2.77775123518755,0.000215490821088431,2.77782179858352
-4.81823638018489e-21,1.57052596523865,0.000262421391667289,-2.77774524992403,0.000272730570440045,2.77783455672205
-5.9484399755369e-21,1.57046254709582,0.00032397702674974,-2.77773856051185,0.000336704407950673,2.77784881581806
-7.19761237039965e-21,1.57039245335902,0.000392012202367185,-2.77773116695103,0.000407412333620314,2.77786457587155
-8.56575356477313e-21,1.57031568402823,0.000466526918519625,-2.77772306924156,0.000484854347448969,2.7778818368825
-1.00528635586574e-20,1.57023223910346,0.00054752117520706,-2.77771426738345,0.000569030449436637,2.77790059885094
-1.16589423520523e-20,1.57014211858471,0.000634994972429489,-2.77770476137668,0.000659940639583319,2.77792086177684
-1.3383989944958e-20,1.57004532247198,0.000728948310186914,-2.77769455122126,0.000757584917889014,2.77794262566022
-1.52280063373745e-20,1.56994185076527,0.000829381188479333,-2.77768363691719,0.000861963284353722,2.77796589050108
-1.71909915293016e-20,1.56983170346458,0.000936293607306747,-2.77767201846447,0.000973075738977444,2.77799065629941
-1.92729455207396e-20,1.5697148805699,0.00104968556666916,-2.7776596958631,0.00109092228176018,2.77801692305522
-2.14738683116882e-20,1.56959138208124,0.00116955706656656,-2.77764666911309,0.00121550291270193,2.7780446907685
-2.37937599021476e-20,1.5694612079986,0.00129590810699896,-2.77763293821442,0.00134681763180269,2.77807395943925
-2.62326202921177e-20,1.56932435832198,0.00142873868796635,-2.77761850316711,0.00148486643906247,2.77810472906748
-2.87904494815986e-20,1.56918083305138,0.00156804880946874,-2.77760336397114,0.00162964933448126,2.77813699965319
-3.14672474705902e-20,1.5690306321868,0.00171383847150612,-2.77758752062653,0.00178116631805906,2.77817077119636
-3.42630142590925e-20,1.56887375572824,0.0018661076740785,-2.77757097313326,0.00193941738979587,2.77820604369702
-3.71777498471056e-20,1.56871020367569,0.00202485641718587,-2.77755372149135,0.0021044025496917,2.77824281715514
-4.02114542346294e-20,1.56853997602916,0.00219008470082824,-2.77753576570078,0.00227612179774655,2.77828109157075
-4.3364127421664e-20,1.56836307278865,0.0023617925250056,-2.77751710576157,0.0024545751339604,2.77832086694382
-4.66357694082093e-20,1.56817949395416,0.00253997988971796,-2.77749774167371,0.00263976255833327,2.77836214327437
-5.00263801942653e-20,1.56798923952569,0.00272464679496531,-2.77747767343719,0.00283168407086516,2.7784049205624
-5.35359597798321e-20,1.56779230950324,0.00291579324074765,-2.77745690105203,0.00303033967155605,2.7784491988079
-5.71645081649096e-20,1.5675887038868,0.003113419227065,-2.77743542451822,0.00323572936040596,2.77849497801088
-6.09120253494978e-20,1.56737842267639,0.00331752475391733,-2.77741324383576,0.00344785313741489,2.77854225817133
-6.47785113335968e-20,1.56716146587199,0.00352810982130466,-2.77739035900465,0.00366671100258283,2.77859103928925
-6.87639661172066e-20,1.56693783347361,0.00374517442922699,-2.77736677002489,0.00389230295590978,2.77864132136465
-7.2868389700327e-20,1.56670752548125,0.00396871857768431,-2.77734247689648,0.00412462899739574,2.77869310439752
-7.70917820829582e-20,1.56647054189491,0.00419874226667662,-2.77731747961942,0.00436368912704072,2.77874638838787
-8.14341432651001e-20,1.56622688271458,0.00443524549620393,-2.77729177819371,0.00460948334484471,2.77880117333569
-8.58954732467528e-20,1.56597654794028,0.00467822826626624,-2.77726537261935,0.00486201165080771,2.77885745924099
-9.04757720279162e-20,1.56571953757199,0.00492769057686354,-2.77723826289635,0.00512127404492973,2.77891524610376
-9.51750396085904e-20,1.56545585160973,0.00518363242799583,-2.77721044902469,0.00538727052721076,2.77897453392401
-9.99932759887753e-20,1.56518549005348,0.00544605381966312,-2.77718193100438,0.00566000109765081,2.77903532270173
-1.04930481168471e-19,1.56490845290325,0.0057149547518654,-2.77715270883542,0.00593946575624987,2.77909761243693
-1.09986655147677e-19,1.56462474015903,0.00599033522460268,-2.77712278251782,0.00622566450300794,2.7791614031296
-1.15161797926394e-19,1.56433435182084,0.00627219523787495,-2.77709215205156,0.00651859733792502,2.77922669477974
-1.20455909504622e-19,1.56403728788866,0.00656053479168222,-2.77706081743666,0.00681826426100112,2.77929348738736
-1.25868989882361e-19,1.56373354836251,0.00685535388602449,-2.7770287786731,0.00712466527223623,2.77936178095245
-1.3140103905961e-19,1.56342313324237,0.00715665252090174,-2.7769960357609,0.00743780037163036,2.77943157547502
-1.3705205703637e-19,1.56310604252825,0.007464430696314,-2.77696258870004,0.0077576695591835,2.77950287095507
